search_keyword,search_country,id,title,company,location,category,contract_type,contract_time,salary_min,salary_max,salary_is_predicted,created,description,is_ai_related,salary_avg,created_date,currency,country_name
artificial intelligence,gb,5822242641,Senior Technologist Artificial Intelligence R and D,Hackajob Ltd,"Great Baddow, Chelmsford",Engineering Jobs,permanent,,40000.0,40000.0,0,2026-07-31 11:09:48+00:00,"hackajob is partnering directly with BAE Systems Digital Intelligence to hire for this role. Location(s): UK, Europe & Africa : UK : Great Baddow BAE Systems Digital Intelligence is home to 4,500 digital, cyber and intelligence experts. We work collaboratively across 10 countries to collect, connect and understand complex data, so that governments, nation states, armed forces and commercial businesses can unlock digital advantage in the most demanding environments. Job Title: Senior Technologis…",True,40000.0,2026-07-31,GBP,United Kingdom
artificial intelligence,gb,5727313687,Artificial Intelligence,Adria Solutions,"Altrincham, Greater Manchester",IT Jobs,,,53702.83,53702.83,1,2026-05-12 22:05:22+00:00,"AI Engineer - Manchester - Circa £50K Our client is a rapidly growing tech-driven company based in central Manchester, leveraging artificial intelligence to build smarter, more efficient solutions across their digital platforms. With recent investment and a growing organisation, they're looking to bring on a AI Engineer to support the development and deployment of scalable AI applications. This is a fantastic opportunity for a recent graduate or early-career AI enthusiast to work in a collabora…",True,53702.83,2026-05-12,GBP,United Kingdom
artificial intelligence,gb,5736675451,Artificial Intelligence Engineer,Oxford Dynamics,UK,IT Jobs,permanent,full_time,74422.25,74422.25,1,2026-05-21 21:07:04+00:00,"Artificial Intelligence Engineers Contract: Permanent or Contract considered Roles: Hiring for multiple positions Salary: Very Competitive Location: Greater Oxford Area / London A NOTE FROM THE FOUNDERS Oxford Dynamics is at an inflection point. We operate in some of the most complex and high-stakes environments in the world - defence, national security, AI and robotics. The decisions we make now will define not just how fast we grow, but who we become. You will work closely with the entire tea…",True,74422.25,2026-05-21,GBP,United Kingdom
artificial intelligence,gb,5824444000,Artificial Intelligence Engineer,Quantiphi,"London, UK",IT Jobs,,full_time,53031.54,53031.54,1,2026-08-01 18:29:25+00:00,"While technology is the heart of our business, a global and diverse culture is the heart of our success. We love our people and we take pride in catering them to a culture built on transparency, diversity, integrity, learning and growth. If working in an environment that encourages you to innovate and excel, not just in professional but personal life, interests you- you would enjoy your career with Quantiphi! About Quantiphi: Quantiphi is an award-winning Applied AI and Big Data software and se…",True,53031.54,2026-08-01,GBP,United Kingdom
artificial intelligence,gb,5844156514,Artificial Intelligence Engineer,Discover International,"Monument, Central London",IT Jobs,contract,full_time,52000.0,60000.0,0,2026-08-16 11:39:19+00:00,"Salary: £52,000 - 60,000 per year Requirements: Strong Python and backend development experience Hands-on experience with OpenAI / Azure OpenAI, prompt engineering, RAG, embeddings and vector search Proven experience building agentic AI with LangGraph or similar frameworks such as LangChain, Semantic Kernel, AutoGen, or CrewAI Experience with vector databases such as pgvector, Azure AI Search, Pinecone, Weaviate, Chroma, FAISS, Milvus, or OpenSearch Experience with cloud platforms such as Azure…",True,56000.0,2026-08-16,GBP,United Kingdom
artificial intelligence,gb,5726739351,Applied Artificial Intelligence Engineer,Oxford Dynamics,"London, UK",IT Jobs,permanent,full_time,78070.5,78070.5,1,2026-05-12 11:12:20+00:00,"Applied Artificial Intelligence Engineer Contract: Permanent or Contract considered (Hybrid) Roles: Hiring for multiple positions Salary: Very Competitive Location: London A NOTE FROM THE FOUNDERS Oxford Dynamics is at an inflection point. We operate in some of the most complex and high-stakes environments in the world -defence, national security, AI and robotics. The decisions we make now will define not just how fast we grow, but who we become. You will work closely with the entire team. You …",True,78070.5,2026-05-12,GBP,United Kingdom
artificial intelligence,gb,5844812607,Head of Artificial Intelligence AI,Hallmark Care Homes LTD,"Billericay, Essex",IT Jobs,permanent,full_time,65316.62,65316.62,1,2026-08-17 02:59:36+00:00,"Join Hallmark on our new AI adventure, become our very first Head of Artificial Intelligence (AI). About Us At Hallmark Luxury Care Homes, we're dedicated to cherishing every moment and providing exceptional care that supports residents to live each day to the full. About the role The new Head of AI will lead the development and delivery of Hallmark Luxury Care Homes’ Artificial Intelligence strategy. This pivotal role will shape how AI enhances resident experience, supports care delivery, impr…",True,65316.62,2026-08-17,GBP,United Kingdom
artificial intelligence,gb,5706937291,Artificial Intelligence Academic Leader,CMT Learning,"Godalming, Surrey",Teaching Jobs,,full_time,39251.0,39251.0,1,2026-04-22 08:37:47+00:00,"The key role of the Artificial Intelligence & Big Data Academic Leader is to deliver up to 15 hours of high-quality tuition per week as part of the Morning Academic programme. Reporting to the Course Director and Director of Studies, the role involves planning and delivering engaging, structured lessons that introduce students to artificial intelligence, data-driven thinking, and emerging technologies. The Academic Leader contributes to a safe, positive, and stimulating learning environment, en…",True,39251.0,2026-04-22,GBP,United Kingdom
artificial intelligence,gb,5548411178,Artificial Intelligence Integrator (N),SimIS,UK,IT Jobs,,full_time,84778.84,84778.84,1,2025-12-19 09:33:12+00:00,"ONSITE Who We Are : Founded in 2007, SimIS Inc. is an innovative information technology solution Veteran Owned Small Business (VOSB) that models future environments, requirements, and capabilities, and then secures the enterprise from internal and external threats compliant with Federal, State, and industry standard governance to ensure client mission success. Our performance standard is “excellence,” with an outcomes-based, quality focus in our services and products, guided by our core values …",True,84778.84,2025-12-19,GBP,United Kingdom
artificial intelligence,gb,5484391378,IT Graduate- Artificial Intelligence,Tarmac Resourcing,"Birmingham International Airport, Birmingham",Graduate Jobs,,full_time,51334.88,51334.88,1,2025-11-06 21:45:54+00:00,"IT Graduate Programme - be a part of the digital transformation at Tarmac! The construction and infrastructure sector is undergoing a digital revolution- and our Transformation department is at the heart of it! At Tarmac, we’re embracing cutting-edge technologies, smarter systems, and innovative thinking to shape the future of how we build, connect, and operate. This is a unique opportunity to contribute to the development and deployment of cutting-edge AI and automation solutions that drive re…",True,51334.88,2025-11-06,GBP,United Kingdom
